observation_id,canonical_player_id,canonical_player_name,player_name,display_name,team,team_code,birth_date,age_at_rating,game_title,work,version,official_version,archive_version,update_date,rating_reference_date,rating_reference_season,rating_reference_description,performance_season_used,speed,trajectory,contact,power,arm,fielding,catching,position_code,slot,previous_speed,speed_change,abs_speed_change,days_since_previous_rating,change_class,source,source_url,official_update_url,source_confidence,identity_confidence,identity_method,conflict_flag
2016:default:BA:35,proeye:71475139,嶺井　博希,嶺井　博希,嶺 井,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,54,3,24,54,62,50,44,c,35,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:36,proeye:21725112,黒羽根　利規,黒羽根　利規,黒羽根,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,54,2,19,48,80,56,40,c,36,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,low,unique_name_fragment_team_all_available_seasons,archive_default_not_official_version
2016:default:BA:37,proeye:51055135,髙城　俊人,髙城　俊人,髙 城,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,51,3,28,50,72,52,49,c,37,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:38,proeye:41245132,戸柱　恭孝,戸柱　恭孝,戸 柱,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,50,2,18,42,70,53,52,c,38,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:39,proeye:01405135,西森　将司,西森　将司,西 森,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,61,2,20,37,61,49,48,co,39,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:40,proeye:93195137,Ｊ．ロペス,Ｊ．ロペス,ロペス,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,42,3,68,79,66,62,50,i,40,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,high,exact_name_team_reference_season,archive_default_not_official_version
2016:default:BA:41,proeye:21725137,白崎　浩之,白崎　浩之,白 崎,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,55,3,37,55,61,59,45,i,41,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:42,proeye:81685112,柳田　殖生,柳田　殖生,柳 田,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,53,3,29,50,54,44,40,i,42,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:43,proeye:91795130,倉本　寿彦,倉本　寿彦,倉 本,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,58,2,23,49,61,57,70,i,43,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
2016:default:BA:44,proeye:91695135,松井　飛雄馬,松井　飛雄馬,飛雄馬,横浜DeNAベイスターズ,BA,,,実況パワフルプロ野球2016,2016,archive_default_unversioned,,default,2016-04-28,,2016,Title-release snapshot; BASELESS default is not an official version label.,,51,2,30,52,61,41,38,i,44,,,,,,BASELESS archived active-roster player-data page for numeric ability; KONAMI official page for version/date metadata.,https://www.baseless.org/data/source/2016/dat_BA.html,https://www.konami.com/pawa/2016/,medium,medium,unique_prefix_team_reference_season,archive_default_not_official_version
