player,player_id,team,current_100,n_records,origin_count,reaction_volume,n_rating,n_physical,top_directions
中川 圭太,51255138,オリックス・バファローズ,1,6,1,17,4,2,TOO_LOW|EXPLICIT_PROPOSED_VALUE|UNCLEAR|INJURY_NOT_REFLECTED
太田 椋,91395138,オリックス・バファローズ,1,4,1,21,3,0,COMPARISON_ONLY|EXPLICIT_PROPOSED_VALUE|UNCLEAR
宗 佑磨,11815130,オリックス・バファローズ,1,1,1,7,1,0,EXPLICIT_PROPOSED_VALUE
来田 涼斗,51955153,オリックス・バファローズ,1,1,1,0,0,1,UNCLEAR
森 友哉,91495139,オリックス・バファローズ,1,6,3,4,5,0,UNCLEAR|EXPLICIT_PROPOSED_VALUE|APPROPRIATE|TOO_LOW
紅林 弘太郎,91995151,オリックス・バファローズ,1,2,1,64,1,1,UNCLEAR
若月 健矢,41645139,オリックス・バファローズ,1,0,0,0,0,0,
西川 龍馬,71475132,オリックス・バファローズ,1,3,1,41,3,0,COMPARISON_ONLY|EXPLICIT_PROPOSED_VALUE|UNCLEAR
西野 真弘,91495130,オリックス・バファローズ,1,2,1,0,1,0,COMPARISON_ONLY|UNCLEAR
カリステ,93795157,中日ドラゴンズ,1,10,4,6,9,0,TOO_HIGH|STALE|APPROPRIATE|EXPLICIT_PROPOSED_VALUE|COMPARISON_ONLY
土田 龍空,51455153,中日ドラゴンズ,1,0,0,0,0,0,
大島 洋平,01305131,中日ドラゴンズ,1,8,1,32,6,1,TOO_HIGH|INJURY_NOT_REFLECTED|COMPARISON_ONLY|UNCLEAR
岡林 勇希,81585151,中日ドラゴンズ,1,1,1,0,0,0,UNCLEAR
木下 拓哉,31735132,中日ドラゴンズ,1,2,1,0,2,0,EXPLICIT_PROPOSED_VALUE|COMPARISON_ONLY
村松 開人,03105157,中日ドラゴンズ,1,1,1,12,1,0,UNCLEAR
板山 祐太郎,91395132,中日ドラゴンズ,1,0,0,0,0,0,
田中 幹也,21025157,中日ドラゴンズ,1,2,1,0,2,0,EXPLICIT_PROPOSED_VALUE|COMPARISON_ONLY
石川 昂弥,91195151,中日ドラゴンズ,1,0,0,0,0,0,
福永 裕基,81685157,中日ドラゴンズ,1,0,0,0,0,0,
細川 成也,31835134,中日ドラゴンズ,1,4,3,0,4,0,UNCLEAR|EXPLICIT_PROPOSED_VALUE|APPROPRIATE
高橋 周平,91095135,中日ドラゴンズ,1,3,1,171,3,0,TOO_HIGH|APPROPRIATE|COMPARISON_ONLY
奈良間 大己,31435157,北海道日本ハムファイターズ,1,1,1,0,0,1,UNCLEAR
水野 達稀,63165155,北海道日本ハムファイターズ,1,3,2,1,1,1,APPROPRIATE|UNCLEAR
清宮 幸太郎,41545136,北海道日本ハムファイターズ,1,2,1,2,2,0,TOO_LOW|UNCLEAR
田宮 裕涼,51055138,北海道日本ハムファイターズ,1,1,1,0,1,0,TOO_LOW
郡司 裕也,21925151,北海道日本ハムファイターズ,1,2,2,0,1,0,UNCLEAR|TOO_HIGH
野村 佑希,31435138,北海道日本ハムファイターズ,1,1,1,0,0,0,UNCLEAR
ソト,03505133,千葉ロッテマリーンズ,1,1,1,4,1,0,COMPARISON_ONLY
ポランコ,63065155,千葉ロッテマリーンズ,1,5,4,4,5,0,TOO_LOW|COMPARISON_ONLY|STALE
佐藤 都志也,71075151,千葉ロッテマリーンズ,1,4,2,2410,3,0,UNCLEAR|EXPLICIT_PROPOSED_VALUE|COMPARISON_ONLY
友杉 篤輝,71275157,千葉ロッテマリーンズ,1,1,1,0,0,1,UNCLEAR
安田 尚憲,81885136,千葉ロッテマリーンズ,1,3,2,6,3,0,TOO_LOW|COMPARISON_ONLY|STALE
小川 龍成,11715153,千葉ロッテマリーンズ,1,1,1,1,1,0,TOO_HIGH
山口 航輝,91895138,千葉ロッテマリーンズ,1,1,1,0,0,1,UNCLEAR
岡 大海,11515139,千葉ロッテマリーンズ,1,3,1,12,3,0,EXPLICIT_PROPOSED_VALUE|TOO_HIGH
藤原 恭大,31635138,千葉ロッテマリーンズ,1,4,1,16,4,0,TOO_HIGH|EXPLICIT_PROPOSED_VALUE|UNCLEAR
藤岡 裕大,41645136,千葉ロッテマリーンズ,1,2,1,1,2,0,COMPARISON_ONLY|EXPLICIT_PROPOSED_VALUE
髙部 瑛斗,11215151,千葉ロッテマリーンズ,1,2,1,4,2,0,EXPLICIT_PROPOSED_VALUE
古賀 悠斗,81785155,埼玉西武ライオンズ,1,2,1,0,0,2,UNCLEAR
外崎 修汰,41245130,埼玉西武ライオンズ,1,1,1,1,1,0,EXPLICIT_PROPOSED_VALUE
源田 壮亮,71775134,埼玉西武ライオンズ,1,2,1,2,2,0,EXPLICIT_PROPOSED_VALUE
滝澤 夏央,51255155,埼玉西武ライオンズ,1,3,2,4,3,0,APPROPRIATE|EXPLICIT_PROPOSED_VALUE
石井 一成,21125134,埼玉西武ライオンズ,1,2,2,1,0,1,APPROPRIATE|COMPARISON_ONLY
ファビアン,43745150,広島東洋カープ,1,0,0,0,0,0,
モンテロ,53955150,広島東洋カープ,1,0,0,0,0,0,
名原 典彦,,広島東洋カープ,1,0,0,0,0,0,
坂倉 将吾,11915134,広島東洋カープ,1,0,0,0,0,0,
小園 海斗,01705138,広島東洋カープ,1,0,0,0,0,0,
矢野 雅哉,93395153,広島東洋カープ,1,1,1,6,1,0,TOO_LOW
秋山 翔吾,31135133,広島東洋カープ,1,5,1,1,5,0,TOO_LOW|AGING_NOT_REFLECTED|COMPARISON_ONLY|UNCLEAR
菊池 涼介,61565135,広島東洋カープ,1,5,1,9,4,1,UNCLEAR
野間 峻祥,01405130,広島東洋カープ,1,3,3,0,3,0,TOO_HIGH|STALE|COMPARISON_ONLY
サンタナ,53755153,東京ヤクルトスワローズ,1,0,0,0,0,0,
並木 秀尊,91695153,東京ヤクルトスワローズ,1,2,1,6,2,0,COMPARISON_ONLY|TOO_HIGH
中村 悠平,51255118,東京ヤクルトスワローズ,1,1,1,0,1,0,COMPARISON_ONLY
丸山 和郁,93195155,東京ヤクルトスワローズ,1,3,1,1011,2,1,APPROPRIATE|EXPLICIT_PROPOSED_VALUE|UNCLEAR
古賀 優大,01705134,東京ヤクルトスワローズ,1,1,1,0,1,0,EXPLICIT_PROPOSED_VALUE
塩見 泰隆,71975136,東京ヤクルトスワローズ,1,13,3,3712,6,6,UNCLEAR|TOO_LOW|INJURY_NOT_REFLECTED|RECOVERY_NOT_REFLECTED|EXPLICIT_PROPOSED_VALUE
岩田 幸宏,51355155,東京ヤクルトスワローズ,1,2,2,0,2,0,APPROPRIATE|TOO_LOW
長岡 秀樹,51455151,東京ヤクルトスワローズ,1,1,1,13,1,0,EXPLICIT_PROPOSED_VALUE
太田 光,71375138,東北楽天ゴールデンイーグルス,1,2,1,17,2,0,UNCLEAR
村林 一輝,41845132,東北楽天ゴールデンイーグルス,1,2,1,47,2,0,EXPLICIT_PROPOSED_VALUE|UNCLEAR
浅村 栄斗,51155118,東北楽天ゴールデンイーグルス,1,1,1,30,1,0,EXPLICIT_PROPOSED_VALUE
